ticker,company,fy_end,filed_date,accession,risk_section_chars,tokens,negative_count,positive_count,negative_ratio,positive_ratio,net_sentiment,negative_yoy_delta,net_sentiment_yoy_delta
AAPL,Apple Inc.,2023-09-30,2023-11-03,0000320193-23-000106,67853,10042,385,85,0.03833897629954192,0.00846444931288588,-0.029874526986656044,,
AAPL,Apple Inc.,2024-09-28,2024-11-01,0000320193-24-000123,68736,10172,386,86,0.03794730633110499,0.008454581203303186,-0.029492725127801808,-0.0003916699684369321,0.0003818018588542353
AAPL,Apple Inc.,2025-09-27,2025-10-31,0000320193-25-000079,68022,10034,403,102,0.040163444289415984,0.010165437512457643,-0.029998006776958342,0.002216137958310993,-0.0005052816491565339
JPM,JPMORGAN CHASE & CO,2025-12-31,2026-02-13,0001628280-26-008131,112496,15838,736,150,0.046470513953782044,0.009470892789493623,-0.03699962116428842,,
MSFT,MICROSOFT CORP,2023-06-30,2023-07-27,0000950170-23-035122,2,0,0,0,0.0,0.0,0.0,,
MSFT,MICROSOFT CORP,2024-06-30,2024-07-30,0000950170-24-087843,2,0,0,0,0.0,0.0,0.0,0.0,0.0
MSFT,MICROSOFT CORP,2025-06-30,2025-07-30,0000950170-25-100235,2,0,0,0,0.0,0.0,0.0,0.0,0.0
